emp_id,emp_name,salary
198,Donald,2600
199,Douglas,2600
200,Jennifer,4400
201,Michael,13000
202,Pat,6000
203,Susan,6500
204,Hermann,10000
205,Shelley,12008
206,William,8300
100,Steven,24000
101,Neena,17000
102,Lex,17000
103,Alexander,9000
104,Bruce,6000
105,David,4800
106,Valli,4800
107,Diana,4200
108,Nancy,12008
109,Daniel,9000
110,John,8200
111,Ismael,7700
112,Jose Manuel,7800
113,Luis,6900
114,Den,11000
115,Alexander,3100
116,Shelli,2900
117,Sigal,2800
118,Guy,2600
119,Karen,2500
120,Matthew,8000
121,Adam,8200
122,Payam,7900
123,Shanta,6500
124,Kevin,5800
125,Julia,3200
126,Irene,2700
127,James,2400
128,Steven,2200
129,Laura,3300
130,Mozhe,2800
131,James,2500
132,TJ,2100
133,Jason,3300
134,Michael,2900
135,Ki,2400
136,Hazel,2200
137,Renske,3600
138,Stephen,3200
139,John,2700
140,Joshua,2500
